,km_interval,avg_speed,count,km_label
0,0,31.596473489519113,1622,KM 0-1
1,1,19.696722306525036,1977,KM 1-2
2,2,27.527737556561085,1326,KM 2-3
3,3,33.383350630096366,1349,KM 3-4
4,4,30.905288461538465,1248,KM 4-5
5,5,34.79032323232323,990,KM 5-6
6,6,21.702791728212706,1354,KM 6-7
7,7,13.171281512605042,476,KM 7-8
8,8,8.810019379844961,1032,KM 8-9
9,9,21.999222948438636,2754,KM 9-10
10,10,19.37503082959641,3568,KM 10-11
11,11,19.895615275813295,3535,KM 11-12
12,12,22.10260336906585,2612,KM 12-13
13,13,23.442955589586525,2612,KM 13-14
14,14,30.324446452779032,2213,KM 14-15
15,15,39.80759093305219,1897,KM 15-16
16,16,29.672266026739802,2917,KM 16-17
17,17,40.023874118285406,1843,KM 17-18
18,18,24.134517002708396,3323,KM 18-19
19,19,37.86569495054659,1921,KM 19-20
20,20,22.616894859209506,3871,KM 20-21
21,21,20.72021028037383,3424,KM 21-22
22,22,17.305130513051306,2222,KM 22-23
23,23,15.728943338437979,4571,KM 23-24
24,24,19.3437125748503,3340,KM 24-25
25,25,19.75118670886076,2528,KM 25-26
26,26,24.0,15,KM 26-27
